Date,000002 SZ T1440,000089 SZ T1440,000157 SZ T1440,000568 SZ T1440,000581 SZ T1440,000651 SZ T1440,000858 SZ T1440,000951 SZ T1440,000997 SZ T1440,002032 SZ T1440,002050 SZ T1440,002081 SZ T1440,600000 SS T1440,600016 SS T1440,600019 SS T1440,600028 SS T1440,600030 SS T1440,600031 SS T1440,600036 SS T1440,600050 SS T1440,600104 SS T1440,600176 SS T1440,600276 SS T1440,600323 SS T1440,600519 SS T1440,600535 SS T1440,600566 SS T1440,600570 SS T1440,600585 SS T1440,600606 SS T1440,600660 SS T1440,600779 SS T1440,600886 SS T1440,600887 SS T1440,600900 SS T1440,601006 SS T1440,601398 SS T1440,601988 SS T1440,601166 SS T1440,601318 SS T1440,000338 SZ T1440,601328 SS T1440,002138 SZ T1440,601169 SS T1440,601939 SS T1440,601390 SS T1440,601601 SS T1440,601186 SS T1440,002262 SZ T1440,601766 SS T1440,601888 SS T1440,300003 SZ T1440,300012 SZ T1440,300015 SZ T1440,002304 SZ T1440,002311 SZ T1440,601288 SS T1440,601818 SS T1440,002475 SZ T1440,300124 SZ T1440,300142 SZ T1440,002508 SZ T1440,300166 SZ T1440,300203 SZ T1440,300271 SZ T1440
2012-01-05,5.608797808042536,3.8078828417246475,5.697451590335011,26.510463170450496,17.259812260871517,6.377904177726148,25.794076576273536,6.423873890787138,5.524118602955208,9.711198593570609,3.1312086710239657,6.044783066252096,4.535425014460434,3.134147970187656,3.6470369139933845,3.9124894009626536,7.949362301652343,10.675623809179745,8.559983595899864,4.715958442003879,9.543095570841814,2.2826952618890086,6.955236859183701,4.795398445878336,129.66774212395845,12.483671319829917,5.367218761342056,8.101168101613602,12.12114959436128,3.641049612204728,5.362920322989181,19.206368039311233,2.022467262480142,5.396214452068372,4.688474785869647,4.857043528018884,2.820530347846708,1.932400629180891,6.315697030317095,14.78398581116414,5.200315343451204,3.1092875211297257,4.261747037138928,2.8980767044855114,3.0016175829964076,2.179433851539502,15.969964175169565,3.1996409316677954,4.262741832301319,3.5090510103370387,11.638097167986459,6.119212946002671,2.0249368622185497,3.3530298126915454,60.49252497030882,6.271071047632645,1.7249676118515878,2.1071843138288884,1.8219841660347202,6.214885384625917,4.218003315371025,3.7009054588363033,3.351366918528939,14.980506434108516,3.2536324605068767
2012-01-06,5.480905467666724,3.801978308953822,5.567220646359444,26.82884216820271,16.993895299412426,6.197429022828443,25.972654409179054,6.351698675503192,5.702241978929753,9.458017593283579,2.9705547181008902,5.6629410017637944,4.549730335568944,3.134407106176209,3.661582759865267,3.9098941174801274,7.754681307532931,10.485217424057733,8.55134781802773,4.673164465115156,9.36233565538271,2.188640730963601,6.708794475786399,4.663228732091382,130.20123619546666,12.337192297810544,5.11391913069146,7.783645613316791,11.845546913079353,3.53866371475632,5.323018989761938,19.099916448740775,2.022467262480142,5.4460590425682796,4.663864577025824,4.896017735944474,2.8385691576659826,1.9421359196242594,6.300015517282628,14.727437845179345,5.231768292093287,3.153265920141132,4.286783448907784,2.883871739373233,3.034726437293977,2.150995072496886,15.912420597890245,3.173822521750686,4.016716536666487,3.4906553473982167,10.890405335777992,6.1484204782525005,1.9747021272008622,3.2624214646600986,61.55738436876251,6.219243171132307,1.7326182638896728,2.091033577304203,1.7386398132675338,5.8420756594208925,4.109908501951367,3.7767466466536628,3.1945199486369096,14.436428367689363,3.2536324605068767
2012-01-07,5.527596178642306,3.8906067224354555,5.758363317054415,26.616697495573607,16.451071730463244,6.366991044699845,25.898051320679336,6.63031623596124,5.918431201655176,9.677200974358982,3.034212069114471,5.807397417231327,4.644970284206049,3.198872549678416,3.6964731617959616,4.007249011546322,8.028610617884922,10.913079574701657,8.800315086122303,4.711556427936531,9.68603715198286,2.321451538933565,6.637539071194208,4.877097505025296,130.39131796636076,12.533249748966332,5.327733823321056,8.063735662870156,12.23641454610826,3.668016148104267,5.424315947635681,19.234596936909472,2.0539541030219253,5.480295374701351,4.665027853236747,5.005571301263999,2.841442285377524,1.9421359196242594,6.422485233994913,14.826786862291451,5.416885134970187,3.1886170116889105,4.3577345552560685,2.947264986324674,3.098970953971801,2.198657795388713,16.03166858966578,3.2437796286762985,4.10114266313479,3.5617485694192466,11.029614200917798,6.406586864302232,2.003707469068413,3.338935647876676,61.407276150658035,6.6408913448729745,1.7369966997596709,2.1008902756149554,1.745024302531313,5.951914247705368,4.188153451236267,3.9455651583386073,3.4303720372985183,14.869789213075743,3.421415842480513
2012-01-08,5.527596178642306,3.8906067224354555,5.758363317054415,26.616697495573607,16.451071730463244,6.366991044699845,25.898051320679336,6.63031623596124,5.918431201655176,9.677200974358982,3.034212069114471,5.807397417231327,4.644970284206049,3.198872549678416,3.6964731617959616,4.007249011546322,8.028610617884922,10.913079574701657,8.800315086122303,4.711556427936531,9.68603715198286,2.321451538933565,6.637539071194208,4.877097505025296,130.39131796636076,12.533249748966332,5.327733823321056,8.063735662870156,12.23641454610826,3.668016148104267,5.424315947635681,19.234596936909472,2.0539541030219253,5.480295374701351,4.665027853236747,5.005571301263999,2.841442285377524,1.9421359196242594,6.422485233994913,14.826786862291451,5.416885134970187,3.1886170116889105,4.3577345552560685,2.947264986324674,3.098970953971801,2.198657795388713,16.03166858966578,3.2437796286762985,4.10114266313479,3.5617485694192466,11.029614200917798,6.406586864302232,2.003707469068413,3.338935647876676,61.407276150658035,6.6408913448729745,1.7369966997596709,2.1008902756149554,1.745024302531313,5.951914247705368,4.188153451236267,3.9455651583386073,3.4303720372985183,14.869789213075743,3.421415842480513
2012-01-09,5.527596178642306,3.8906067224354555,5.758363317054415,26.616697495573607,16.451071730463244,6.366991044699845,25.898051320679336,6.63031623596124,5.918431201655176,9.677200974358982,3.034212069114471,5.807397417231327,4.644970284206049,3.198872549678416,3.6964731617959616,4.007249011546322,8.028610617884922,10.913079574701657,8.800315086122303,4.711556427936531,9.68603715198286,2.321451538933565,6.637539071194208,4.877097505025296,130.39131796636076,12.533249748966332,5.327733823321056,8.063735662870156,12.23641454610826,3.668016148104267,5.424315947635681,19.234596936909472,2.0539541030219253,5.480295374701351,4.665027853236747,5.005571301263999,2.841442285377524,1.9421359196242594,6.422485233994913,14.826786862291451,5.416885134970187,3.1886170116889105,4.3577345552560685,2.947264986324674,3.098970953971801,2.198657795388713,16.03166858966578,3.2437796286762985,4.10114266313479,3.5617485694192466,11.029614200917798,6.406586864302232,2.003707469068413,3.338935647876676,61.407276150658035,6.6408913448729745,1.7369966997596709,2.1008902756149554,1.745024302531313,5.951914247705368,4.188153451236267,3.9455651583386073,3.4303720372985183,14.869789213075743,3.421415842480513
2012-01-10,5.705332849163617,3.9810432246359384,6.144544322815522,27.50943146035973,16.778363102097963,6.5876837183800765,26.750650252634866,6.864595186407644,6.071931185832743,9.959517110079915,3.17078231705847,6.125298788974146,4.703357326519465,3.2380936429871205,3.782255079724855,4.079978176929228,8.365441081562695,11.478512479815375,8.930162364831444,4.947153484135776,9.981224517864444,2.5071831780703357,6.974473722165035,5.177119473451604,134.80252426343154,13.015137027769802,5.689161061927841,8.29660616411871,13.00101486191335,3.809359181280722,5.659525434254815,19.68962797987278,2.0537465647861275,5.754869294883164,4.747211120055551,5.038244854237381,2.8589543850635977,1.9499564807491476,6.4800933221239125,15.528917664318497,5.625915003236671,3.230823177677886,4.455844043738184,2.992402032049954,3.13184212495719,2.2942587407891404,16.753372335012024,3.376848578481243,4.2392082012513095,3.7023083064004356,11.743973490076113,6.623199496008626,2.0603420972954587,3.403139548154512,63.775479985820624,6.76588516485656,1.749960795112716,2.113584320436074,1.8043557253548106,6.374945765421412,4.366462023085735,4.060427316564855,3.5925949846191436,15.3683909936134,3.5418232324726278
2012-01-11,5.7164806399632235,3.9768153434668205,6.320909924977023,28.24544630478606,17.389904939934883,6.434196973595293,26.957971894025324,6.899529707284564,6.319846448031144,9.949791387373336,3.1878643694451103,6.4244150921064955,4.720288613140861,3.241604580761796,3.831555912487833,4.086241150807285,8.444867735504335,11.587657988021267,8.9353466155621,4.951835536789395,9.935519762061507,2.591861233581442,6.982741132377341,5.281104157512817,134.6921486300168,13.131191105163738,5.846667012551902,8.465901884396782,13.162139117249444,3.8273516801575145,5.684215476907412,19.661001436604266,2.0662454610632954,5.841739804837508,4.768046661103402,5.004094050340384,2.8645193022771003,1.9572928394711806,6.452614693325988,15.631416199220666,5.806053137223195,3.246181931234528,4.399218362932414,2.990922723330242,3.1368432057571747,2.3170697259909954,16.803453479016724,3.4233890384219787,4.320402235411624,3.785852403160144,12.034183677030459,6.727328456441124,2.1063627725190854,3.3963149561411816,64.99564546791895,6.6563327466598015,1.7507259577784269,2.124905576355857,1.815585866933322,6.540877377899265,4.478192838538527,4.076064013206285,3.601007469225837,15.674355727712644,3.6396305623808303
2012-01-12,5.784400637027432,3.9868423331973046,6.377735897987197,28.376164306285705,17.321935230577488,6.357249172930588,27.291127231280214,6.890835553087263,6.210798395305205,9.885179721490408,3.2000446296296294,6.39956474622312,4.769144533035289,3.266283246745453,3.80370532790515,4.0282167098487145,8.43372574710337,11.704005999033237,9.007492992731317,4.830953191755852,10.01663369012497,2.6355863202787764,6.954299684848068,5.288498151382821,134.3462516763848,13.053297122718936,5.8907354778039025,8.264679259186384,13.33379235160384,3.888827583756749,5.666490976752395,19.68293253885442,2.0865142328832307,5.798978987472395,4.793698179141358,4.98270767689235,2.8638474972642074,1.9568256389920584,6.5940177378477545,15.867852344030636,5.710296797831335,3.2576319236314237,4.37728240375587,3.0192391244606607,3.138099657241569,2.3156433600780364,16.785085981945013,3.452629392662307,4.462318534367865,3.8188692946805376,11.879630631148595,6.694075778413802,2.077123313846153,3.295151702641301,64.85642624068498,6.634401306827437,1.7382463042178777,2.1284895428895667,1.858077119690185,6.4890644945502665,4.436557773694687,4.064712438181772,3.6621692517780895,15.375010903632111,3.5414083095125686
2012-01-13,5.699215946389691,3.92173955441195,6.224738330989199,27.716465556224623,16.620641474249336,6.501092424419136,26.872073502439335,6.753868920427551,5.966945435587872,9.360443991031387,3.152318872567724,6.2145573770390135,4.747238139583665,3.2655464952139828,3.7855946107207386,4.007411442061635,8.280001477691034,11.454075088102826,8.959744095789928,4.688087882961839,9.84049120610328,2.549322227926786,6.817213958907289,5.128960559762924,133.2144427027553,12.76217079914284,5.7212871712767415,7.8604226394371715,12.863421149689005,3.7666354425998323,5.5652908179041045,19.498353840037417,2.0507044427171413,5.685340913773553,4.777347304062498,4.977236333288854,2.866677071598116,1.9516670564840188,6.571336333243883,15.727325475893872,5.5863203475099406,3.2488423589305717,4.05821567720248,3.0069896844567996,3.1435767841313793,2.281091299386776,16.573525755155117,3.3502165328026625,4.325804609295687,3.7481153443965303,11.686877907236283,6.407052234125944,1.9871034375000007,3.160406854332968,64.29090734067,6.488076000483323,1.7327305423077421,2.1122242331182757,1.812951656849973,6.127556472186408,4.189626047239,3.9889985366336638,3.475800108628948,14.232048764329313,3.3568884363632705
2012-01-14,5.680035071736628,3.8814498763489222,6.461577105330064,26.608118811798462,16.15973753528355,6.501092424419136,25.518521843664715,6.654333842432621,5.678912592271989,9.11360611598938,2.989312570638214,5.901918536036505,4.729519175742804,3.2552960437014966,3.798969641778721,3.9768989730704716,8.345995473579983,11.631254752589259,8.912890186977696,4.683216304945501,9.669868072674172,2.518494479535841,6.616960762659946,4.96960582183252,127.56702237881365,12.155119323346234,5.56905409077292,7.725855848747484,12.49302026871793,3.6918536141183433,5.546304084439829,19.198614461797572,2.1419677672131847,5.477846974009236,4.767690925188754,4.9220048351768515,2.8508601654871115,1.9474480547850859,6.641073252306238,15.638550819377567,5.537398457525628,3.2489044388255,3.8723745026099925,3.000704008845641,3.1498059061332557,2.2392251729428088,16.58173425825435,3.3502165328026625,4.0976128395643965,3.7202579561693994,11.06507304220445,6.173263486953256,1.866626465812642,3.091761393208341,61.51377533326445,6.458578503325939,1.7425663106554952,2.0976955578686263,1.7538185583481447,5.703554391671826,3.873279654852084,3.9307670464962685,3.105370080819512,13.140400293481619,3.1948847481397196
